"","Space","Rooms","Price","Height","CurrentFloor","TotalFloors","BuildingType","Condition","Baths","Region"
"1",83,3,57000,2.8,2,14,"Monolit","Good","1","Davtashen"
"2",68,2,66000,2.8,8,16,"Monolit","Good","1","Davtashen"
"3",62,2,45000,2.8,4,9,"Monolit","Good","1","Nor Norq"
"4",68,2,60000,2.8,3,9,"Monolit","Good","1","Arabkir"
"5",68,2,51000,2.8,3,9,"Monolit","Good","1","Davtashen"
"6",66,3,68000,2.8,3,4,"Monolit","Good","1","Qanaqer-Zeytun"
"7",62,2,65000,2.8,2,9,"Monolit","Good","1","Center"
"8",52,2,68000,3,3,14,"Monolit","Good","1","Center"
"9",63,2,56500,2.8,1,4,"Monolit","Good","1","Arabkir"
"10",54,1,51000,2.8,8,9,"Monolit","Good","1","Davtashen"
"11",77,3,94000,2.8,4,9,"Monolit","Good","1","Arabkir"
"12",78,2,168000,3,4,5,"Monolit","Good","1","Center"
"13",210,3,5e+05,3.2,13,13,"Monolit","Good","2","Center"
"14",200,4,285000,3,13,16,"Monolit","Good","2","Center"
"15",46,1,54000,2.8,6,9,"Monolit","Good","1","Arabkir"
"16",150,3,330000,3,7,7,"Monolit","Good","2","Center"
"17",51,2,64500,2.8,3,7,"Monolit","Good","1","Arabkir"
"18",85,3,77600,3,2,5,"Monolit","Good","1","Arabkir"
"19",45,2,135000,3,8,16,"Monolit","Good","1","Center"
"20",50,1,78000,3,2,4,"Monolit","Good","1","Center"
"21",77,3,77000,2.8,3,4,"Monolit","Good","2","Center"
"22",38,1,50000,3,4,14,"Monolit","Good","1","Center"
"23",90,3,80000,3,4,4,"Monolit","Good","1","Center"
"24",104,2,350000,3,8,10,"Monolit","Good","2","Center"
"25",200,4,250000,3,6,7,"Monolit","Good","2","Center"
"26",70,3,150000,3,2,4,"Monolit","Good","2","Center"
"27",37,1,65000,2.8,7,9,"Monolit","Good","1","Center"
"28",94,3,85000,2.8,3,9,"Monolit","Good","2","Center"
"29",40,1,52000,2.8,5,11,"Monolit","Good","1","Center"
"30",206,5,145000,3,5,5,"Monolit","Good","2","Center"
"31",170,6,150000,3,5,5,"Monolit","Good","2","Center"
"32",125,4,210000,3.2,2,4,"Monolit","Good","1","Center"
"33",73,4,95000,2.8,4,5,"Monolit","Good","1","Arabkir"
"34",156,6,205000,2.8,5,6,"Monolit","Good","1","Center"
"35",125,4,115000,2.8,3,3,"Monolit","Good","1","Avan"
"36",120,3,195000,3,21,23,"Monolit","Good","1","Center"
"37",175,4,170000,3,7,15,"Monolit","Good","3","Arabkir"
"38",40,1,32000,2.8,5,5,"Monolit","Good","1","Nor Norq"
"39",63,3,65000,2.8,4,5,"Monolit","Good","1","Center"
"40",96,4,77000,2.8,9,16,"Monolit","Good","2","Nor Norq"
"41",39,2,43000,2.8,7,11,"Monolit","Good","1","Center"
"42",73,2,85000,2.8,1,5,"Monolit","Good","1","Arabkir"
"43",75,3,82000,2.8,3,9,"Monolit","Good","1","Davtashen"
"44",100,4,87000,2.8,6,9,"Monolit","Good","1","Shengavit"
"45",125,4,140000,2.8,3,14,"Monolit","Good","2","Avan"
"46",97,4,72000,3,2,14,"Monolit","Good","1","Avan"
"47",78,4,75000,3,2,9,"Monolit","Good","1","Qanaqer-Zeytun"
"48",47,2,55000,2.8,2,5,"Monolit","Good","1","Shengavit"
"49",61,2,52000,2.8,1,3,"Monolit","Good","1","Shengavit"
